"","1997-2009","Histórico","2010-2020"
"mean",255100,241310,225010
"std",51141,51209,51386
"10%",189560,175683,159156
"20%",212059,198211,181762
"30%",228282,214456,198063
"40%",242144,228336,211992
"50%",255100,241310,225010
"10%",0.26,0.27,0.29
"20%",0.17,0.18,0.19
"30%",0.11,0.11,0.12
"40%",0.05,0.05,0.06
"50%",0,0,0
"10%",185769,172169,155973
"20%",207817,194247,178127
"30%",223716,210167,194102
"40%",237301,223770,207752
"50%",249998,236484,220510
